title,published_date,position,video_id,duration,view_count,like_count,comment_count
ESTIRANDO EL CHICLE SUMMER EDITION 04 | A PEDRADAS con NEREA PÉREZ DE LAS HERAS,2021-08-15T11:00:15Z,171,IBlLoatu8TM,1:08:29,251286,8525,393
Las MACHISTADAS en el TRABAJO que tenemos que soportar,2021-08-12T10:45:03Z,172,YTHFSrdBShU,0:10:24,15341,338,12
¿INSPIRACIÓN o COPIA?  Con MODERNA DE PUEBLO,2021-08-09T10:45:00Z,173,CkKTKfi9QFA,0:15:26,10491,258,6
A PARTIRSE EL LOMO con LALA CHUS,2021-08-05T10:45:00Z,174,VvRQpiLu0Zw,0:13:02,28403,639,23
Nuestros TRABAJOS de BECARIAS PRECARIAS,2021-08-03T10:45:01Z,175,HlSXhFqJ4vA,0:12:08,10527,217,4
ESTIRANDO EL CHICLE SUMMER EDITION 03 | PEOR ES VENDIMIAR con MODERNA DE PUEBLO,2021-08-01T11:00:09Z,176,LHlbU_9Ar0k,1:00:07,262531,8828,348
El choque de CULTURAS que te encuentras AL VIAJAR,2021-07-29T10:45:00Z,177,aHbilKjIcsA,0:15:43,8929,230,4
JUDITH TIRAL es la persona que MÁS LIGA VIAJANDO del mundo,2021-07-27T10:45:03Z,178,VzFV8FUl3ZI,0:08:59,9157,237,7
VIAJAR siendo LGTBIQ+,2021-07-22T10:45:01Z,179,tnm9qD_EkuI,0:04:57,10890,312,6
Las MUJERES tenemos DERECHO a viajar SOLAS sin PELIGRO,2021-07-20T10:45:01Z,180,QV27CPLW8F4,0:14:26,15397,648,58
ESTIRANDO EL CHICLE SUMMER EDITION 02 | VIAJAR POR LA FOTO con JUDITH TIRAL,2021-07-18T11:00:12Z,181,2mCMevnAw7w,1:10:33,296221,11515,610
Los VIAJES más CUTRES de CAROLINA IGLESIAS y VICTORIA MARTÍN,2021-07-12T11:00:07Z,182,69kwq6oAFAY,0:12:14,42802,827,36
Las MARCAS que solo se acuerdan del COLECTIVO en el mes del ORGULLO,2021-07-09T10:45:02Z,183,YLqy6Q-sWgo,0:09:24,13270,300,15
DULCEIDA es la REINA del POSTUREO en VERANO,2021-07-06T13:15:02Z,184,YPrNTjF5XwY,0:08:13,13282,220,10
DULCEIDA y VICTORIA MARTÍN siempre ganan TODAS las DISCUSIONES,2021-07-06T10:30:14Z,185,m6u8CFt0bv4,0:12:44,5786,109,5
ESTIRANDO EL CHICLE SUMMER EDITION 01 | LAS TETAS FUERA con DULCEIDA,2021-07-04T11:00:11Z,186,w7P3Vl1XybI,0:55:07,384931,11867,493
La MEJOR DROGA es LA VIDA,2021-06-30T09:45:00Z,187,6zId7nQunrE,0:11:11,6765,190,6
La INCREÍBLE historia de cómo CHELO conoció a SU PAREJA,2021-06-28T10:45:00Z,188,ZP7HBqMnHUo,0:08:04,9683,235,6
Estirando el chicle ☀️SUMMER EDITION☀️  - ¡Seguimos en verano!,2021-06-24T13:00:21Z,189,SdNQxbpM1-c,0:02:01,77871,6366,277
